"Action Owner: ","Action Owner: "
"Time Stamp: ","Time Stamp: "
"Field Name","Field Name"
"Old Value","Old Value"
"New Value","New Value"
"Not found any payment term history!","Not found any payment term history!"
"Select time to create delivery","Select time to create delivery"
"Delivery Information","Delivery Information"
"Purchase products from supplier:","Purchase products from supplier:"
"To Warehouse:","To Warehouse:"
"Import Products to Create Purchase Order","Import Products to Create Purchase Order"
"Please choose CSV file to import","Please choose CSV file to import"
Import,Import
"You can import loads of products to Create Purchase Order for warehouse(s): ","You can import loads of products to Create Purchase Order for warehouse(s): "
"If you want to import products from a CSV file, then in that file, the Qty column(s) will be:","If you want to import products from a CSV file, then in that file, the Qty column(s) will be:"
"Qty ordering for warehouse ","Qty ordering for warehouse "
"So your CSV file will have following columns in total:","So your CSV file will have following columns in total:"
"The structure of CSV file is as follows:","The structure of CSV file is as follows:"
"Example file ","Example file "
Download,Download
"Import Products to Create Delivery","Import Products to Create Delivery"
"If you want to import loads of products to Create Delivery for warehouse(s): ","If you want to import loads of products to Create Delivery for warehouse(s): "
"(Qty delivered to warehouse ","(Qty delivered to warehouse "
"Example file","Example file"
"Import Products to Create Return Order","Import Products to Create Return Order"
"You can import loads of products to Create Return Order for warehouse(s): ","You can import loads of products to Create Return Order for warehouse(s): "
"Qty returned from warehouse ","Qty returned from warehouse "
"There is a draft purchase order which has been created since %s by %s.","There is a draft purchase order which has been created since %s by %s."
"You should convert it to purchase orders by","You should convert it to purchase orders by"
"click here","click here"
"Select Time to Create Return Order","Select Time to Create Return Order"
"Reason(s) for returning order:","Reason(s) for returning order:"
"Reason(s) to return order","Reason(s) to return order"
"Supplier SKU","Supplier SKU"
"Not found any purchase order history!","Not found any purchase order history!"
"Not found any shipping method history!","Not found any shipping method history!"
"Import Products from CSV file","Import Products from CSV file"
"When you want to assign loads of products to a Supplier, the structure of CSV file is as follows:","When you want to assign loads of products to a Supplier, the structure of CSV file is as follows:"
State/Province,State/Province
"Please select region, state or province","Please select region, state or province"
Enable,Enable
Disable,Disable
"Not found any supplier history!","Not found any supplier history!"
